waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.081665,0.081665,0.081665
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 16:56:23.06310,1.38E+00,-5.03E-01,3.77E-01
24/03/2020 16:56:23.14476,1.26E+00,-7.54E-01,7.54E-01
24/03/2020 16:56:23.22643,1.13E+00,-1.01E+00,6.28E-01
24/03/2020 16:56:23.30809,1.13E+00,-8.80E-01,5.03E-01
24/03/2020 16:56:23.38976,1.51E+00,-7.54E-01,7.54E-01
24/03/2020 16:56:23.47142,8.80E-01,-1.13E+00,1.51E+00
24/03/2020 16:56:23.55309,5.03E-01,-2.26E+00,2.64E+00
24/03/2020 16:56:23.63475,-3.77E-01,-3.52E+00,3.90E+00
24/03/2020 16:56:23.71642,-1.13E+00,-4.40E+00,4.90E+00
24/03/2020 16:56:23.79809,-2.01E+00,-6.28E+00,7.92E+00
24/03/2020 16:56:23.87975,-4.78E+00,-1.08E+01,1.33E+01
24/03/2020 16:56:23.96142,-8.29E+00,-1.53E+01,1.80E+01
24/03/2020 16:56:24.04308,-1.08E+01,-1.99E+01,2.36E+01
24/03/2020 16:56:24.12475,-1.66E+01,-2.93E+01,3.52E+01
24/03/2020 16:56:24.20641,-2.30E+01,-3.73E+01,4.22E+01
24/03/2020 16:56:24.28808,-2.70E+01,-4.44E+01,5.25E+01
24/03/2020 16:56:24.36974,-3.67E+01,-5.93E+01,6.95E+01
24/03/2020 16:56:24.45141,-4.65E+01,-7.28E+01,8.33E+01
24/03/2020 16:56:24.53307,-5.43E+01,-8.32E+01,9.50E+01
24/03/2020 16:56:24.61474,-6.13E+01,-9.27E+01,1.04E+02
24/03/2020 16:56:24.69640,-6.42E+01,-9.54E+01,1.05E+02
24/03/2020 16:56:24.77807,-6.37E+01,-9.42E+01,1.04E+02
24/03/2020 16:56:24.85974,-6.36E+01,-9.41E+01,1.04E+02
24/03/2020 16:56:24.94140,-6.37E+01,-9.47E+01,1.05E+02
24/03/2020 16:56:25.02307,-6.53E+01,-9.74E+01,1.08E+02
24/03/2020 16:56:25.10473,-6.58E+01,-9.74E+01,1.07E+02
24/03/2020 16:56:25.18640,-6.58E+01,-9.71E+01,1.07E+02
24/03/2020 16:56:25.26806,-6.56E+01,-9.71E+01,1.07E+02
24/03/2020 16:56:25.34973,-6.55E+01,-9.69E+01,1.07E+02
24/03/2020 16:56:25.43139,-6.55E+01,-9.69E+01,1.07E+02
24/03/2020 16:56:25.51306,-6.55E+01,-9.69E+01,1.07E+02
24/03/2020 16:56:25.59472,-6.52E+01,-9.69E+01,1.07E+02
