waveform,[R1],[R2],[R3]
Input,16_1,16_2,16_3
delta_t,0.08164,0.08164,0.08164
Frequency,12.5,12.5,12.5
Scaling,3921.568604,3921.568604,3921.568604
,,,
Date        Time,Y[R1],Y[R2],Y[R3]
24/03/2020 17:05:13.60127,1.26E+00,1.01E+00,-5.03E-01
24/03/2020 17:05:13.68291,-8.80E-01,-1.38E+00,8.80E-01
24/03/2020 17:05:13.76455,-3.77E-01,3.77E-01,-1.76E+00
24/03/2020 17:05:13.84619,8.80E-01,2.26E+00,-2.51E+00
24/03/2020 17:05:13.92783,2.51E-01,1.26E-01,3.77E-01
24/03/2020 17:05:14.00947,-1.01E+00,-1.13E+00,2.51E-01
24/03/2020 17:05:14.09111,3.77E-01,1.26E+00,-2.39E+00
24/03/2020 17:05:14.17275,8.80E-01,1.63E+00,-1.38E+00
24/03/2020 17:05:14.25439,-3.77E-01,-5.03E-01,6.28E-01
24/03/2020 17:05:14.33603,-8.80E-01,-3.77E-01,-7.54E-01
24/03/2020 17:05:14.41768,7.54E-01,1.63E+00,-2.39E+00
24/03/2020 17:05:14.49932,3.77E-01,6.28E-01,-3.77E-01
24/03/2020 17:05:14.58096,-6.28E-01,-7.54E-01,2.51E-01
24/03/2020 17:05:14.66260,-1.26E-01,6.28E-01,-1.63E+00
24/03/2020 17:05:14.74424,7.54E-01,1.51E+00,-1.88E+00
24/03/2020 17:05:14.82588,0.00E+00,0.00E+00,2.51E-01
24/03/2020 17:05:14.90752,-7.54E-01,-5.03E-01,-3.77E-01
24/03/2020 17:05:14.98916,3.77E-01,1.26E+00,-2.01E+00
24/03/2020 17:05:15.07080,6.28E-01,1.26E+00,-1.01E+00
24/03/2020 17:05:15.15244,-3.77E-01,-2.51E-01,2.51E-01
24/03/2020 17:05:15.23408,-5.03E-01,2.51E-01,-1.01E+00
24/03/2020 17:05:15.31572,5.03E-01,1.38E+00,-1.88E+00
24/03/2020 17:05:15.39736,2.51E-01,6.28E-01,-5.03E-01
24/03/2020 17:05:15.47900,-3.77E-01,-1.26E-01,-1.26E-01
24/03/2020 17:05:15.56064,0.00E+00,7.54E-01,-1.38E+00
24/03/2020 17:05:15.64228,6.28E-01,1.26E+00,-1.63E+00
24/03/2020 17:05:15.72392,0.00E+00,1.26E-01,-2.51E-01
24/03/2020 17:05:15.80556,-3.77E-01,0.00E+00,-5.03E-01
24/03/2020 17:05:15.88720,1.26E-01,7.54E-01,-1.38E+00
24/03/2020 17:05:15.96884,3.77E-01,8.80E-01,-1.01E+00
24/03/2020 17:05:16.05049,-1.26E-01,1.26E-01,-2.51E-01
24/03/2020 17:05:16.13213,-2.51E-01,2.51E-01,-1.01E+00
24/03/2020 17:05:16.21377,2.51E-01,1.01E+00,-1.38E+00
24/03/2020 17:05:16.29541,0.00E+00,3.77E-01,-6.28E-01
24/03/2020 17:05:16.37705,-1.26E-01,1.26E-01,-5.03E-01
24/03/2020 17:05:16.45869,0.00E+00,5.03E-01,-1.38E+00
24/03/2020 17:05:16.54033,2.51E-01,8.80E-01,-1.26E+00
24/03/2020 17:05:16.62197,0.00E+00,2.51E-01,-2.51E-01
24/03/2020 17:05:16.70361,-3.77E-01,1.26E-01,-6.28E-01
